date,open,high,low,close,volume
2023-11-27,478.0,485.3,476.52,482.42,39566190.0
2023-11-28,482.36,483.229,474.73,478.21,40149085.0
2023-11-29,483.79,487.62,478.6,481.4,38200465.0
2023-11-30,480.24,481.1,464.22,467.7,52624663.0
2023-12-01,465.25,472.0,461.87,467.65,36931701.0
2023-12-04,460.77,460.77,450.1,455.1,43754344.0
2023-12-05,454.66,466.0,452.71,465.66,37171762.0
2023-12-06,472.145,473.87,454.12,455.03,36778599.0
2023-12-07,457.0,466.29,456.04,465.96,35082255.0
2023-12-08,465.95,477.4085,465.5,475.06,35922370.0
2023-12-11,474.91,475.31,458.3,466.27,50972809.0
2023-12-12,460.46,476.66,460.46,476.57,37238686.0
2023-12-13,476.29,485.94,476.08,480.88,44779186.0
2023-12-14,483.9,486.7,474.22,483.5,39123174.0
2023-12-15,481.94,494.04,481.2,488.9,47994758.0
2023-12-18,494.0,504.3299,491.5,500.77,41258717.0
2023-12-19,494.24,497.0,488.95,496.04,46313248.0
2023-12-20,496.55,499.99,480.98,481.11,39789439.0
2023-12-21,488.11,490.95,484.19,489.9,30042535.0
2023-12-22,491.95,493.83,484.67,488.3,25250676.0
2023-12-26,489.68,496.0,489.6,492.79,24419952.0
2023-12-27,495.11,496.8,490.85,494.17,23215431.0
2023-12-28,496.43,498.8399,494.12,495.22,24658748.0
2023-12-29,498.13,499.97,487.51,495.22,38929330.0
2024-01-02,492.44,492.95,475.95,481.68,41125422.0
2024-01-03,474.85,481.841,473.2,475.69,32089617.0
2024-01-04,477.67,485.0,475.08,479.98,30653489.0
2024-01-05,484.62,495.47,483.0601,490.97,41080455.0
2024-01-08,495.12,522.75,494.79,522.53,64250990.0
2024-01-09,524.01,543.25,516.9,531.4,77310006.0
2024-01-10,536.16,546.0,534.89,543.5,53379576.0
2024-01-11,549.99,553.46,535.6,548.22,59675877.0
2024-01-12,546.2,549.7,543.3008,547.1,35299360.0
2024-01-16,550.18,568.3499,549.0,563.82,44957973.0
2024-01-17,563.47,564.7068,547.4,560.53,47439444.0
2024-01-18,572.6,576.0,561.07,571.07,49165036.0
2024-01-19,579.89,595.0,572.25,594.91,54350148.0
2024-01-22,600.49,603.31,590.7,596.54,45295463.0
2024-01-23,595.7,599.1,585.85,598.73,29465445.0
2024-01-24,603.04,628.49,599.38,613.62,55706870.0
2024-01-25,623.5,627.19,608.5,616.17,48277684.0
2024-01-26,609.6,617.83,605.73,610.31,39030859.0
2024-01-29,612.32,624.89,609.07,624.65,34873298.0
2024-01-30,629.0,634.93,622.6,627.74,41073530.0
2024-01-31,614.4,622.6902,607.0,615.27,45379487.0
2024-02-01,621.0,631.91,616.5,630.27,36914579.0
2024-02-02,639.74,666.0,636.9,661.6,47657765.0
2024-02-05,682.25,694.97,672.05,693.32,68007801.0
2024-02-06,696.3,697.5399,663.0,682.23,68311136.0
2024-02-07,683.19,702.2,676.0,700.99,49557455.0
2024-02-08,700.74,707.94,694.55,696.41,41442211.0
2024-02-09,705.33,721.85,702.12,721.33,43663689.0
2024-02-12,726.0,746.11,712.5,722.48,61371018.0
2024-02-13,704.0,734.5,696.2,721.28,60258015.0
2024-02-14,732.02,742.36,719.38,739.0,50491742.0
2024-02-15,738.69,739.75,724.0,726.58,42012181.0
2024-02-16,741.0,744.02,725.01,726.13,49532662.0
2024-02-20,719.47,719.56,677.34,694.52,70483310.0
2024-02-21,680.06,688.88,662.48,674.72,69029813.0
2024-02-22,750.25,785.75,742.2,785.38,86509974.0
2024-02-23,807.9,823.94,775.7,788.17,82938837.0
2024-02-26,797.0,806.4599,785.05,790.92,50397273.0
2024-02-27,793.81,794.8,771.62,787.01,39170524.0
2024-02-28,776.2,789.33,771.25,776.63,39311040.0
2024-02-29,790.94,799.9,783.5,791.12,50728898.0
2024-03-01,800.0,823.0,794.3503,822.79,47913510.0
2024-03-04,841.3,876.95,837.19,852.37,61561645.0
2024-03-05,852.7,860.97,834.1701,859.64,52063930.0
2024-03-06,880.22,897.24,870.3001,887.0,58252030.0
2024-03-07,901.58,927.67,896.0201,926.69,60811916.0
2024-03-08,951.379,974.0,865.06,875.28,114226906.0
2024-03-11,864.29,887.97,841.66,857.74,66611510.0
2024-03-12,880.49,919.6,861.501,919.13,65437480.0
2024-03-13,910.55,915.04,884.35,908.88,62726626.0
2024-03-14,895.77,906.46,866.0,879.44,59711081.0
2024-03-15,869.3,895.46,862.57,878.365,64208616.0
2024-03-18,903.88,924.05,870.85,884.55,66897593.0
2024-03-19,867.0,905.44,850.1,893.98,67217127.0
2024-03-20,897.97,904.1,882.23,903.72,47906279.0
2024-03-21,923.0,926.48,904.05,914.35,48037231.0
2024-03-22,911.41,947.7799,908.3401,942.89,58671936.0
